age	count
0 to 4 years	1,932,784
5 to 9 years	2,041,278
10 to 14 years	2,033,308
15 to 19 years	2,114,650
20 to 24 years	2,475,503
25 to 29 years	2,626,204
30 to 34 years	2,605,394
35 to 39 years	2,581,046
40 to 44 years	2,421,889
45 to 49 years	2,398,378
50 to 54 years	2,505,044
55 to 59 years	2,751,672
60 to 64 years	2,514,070
65 to 69 years	2,098,142
70 to 74 years	1,708,613
75 to 79 years	1,165,334
80 to 84 years	789,039
85 to 89 years	513,205
90 to 94 years	243,103
95 to 99 years	71,993
100 years and over	10,581
